ID,Start,End
ENSP00000374892,61,115
ENSP00000487879,254,369
ENSP00000477946,215,313
ENSP00000350028,969,1003
ENSP00000409151,619,641
ENSP00000362353,433,463
ENSP00000419510,109,151
ENSP00000387650,256,280
ENSP00000481218,271,287
ENSP00000365011,70,202
ENSP00000477208,80,206
ENSP00000399670,161,304
ENSP00000453979,514,552
ENSP00000414475,1019,1044
ENSP00000445350,68,104
ENSP00000338143,1679,1726
ENSP00000413997,1000,1027
ENSP00000305263,443,464
ENSP00000387691,615,642
ENSP00000301656,436,459
ENSP00000415927,449,476
ENSP00000386520,1445,1467
ENSP00000453378,1044,1099
ENSP00000355077,246,266
ENSP00000478600,708,736
ENSP00000394485,505,519
ENSP00000301917,330,361
ENSP00000450006,336,362
ENSP00000386916,665,768
ENSP00000371070,1162,1188
ENSP00000445697,309,346
ENSP00000359417,642,665
ENSP00000376703,934,955
ENSP00000258787,989,1018
ENSP00000382908,233,252
ENSP00000482519,273,348
ENSP00000439902,3398,3418
ENSP00000401317,427,444
ENSP00000335628,288,313
ENSP00000367343,897,927
ENSP00000318131,424,439
ENSP00000389443,478,530
ENSP00000450087,534,598
ENSP00000349439,935,985
ENSP00000407888,455,477
ENSP00000311697,235,268
ENSP00000423777,478,530
ENSP00000372271,109,142
ENSP00000400612,278,303
ENSP00000337889,178,209
ENSP00000383898,339,361
ENSP00000295886,300,367
ENSP00000252590,394,442
ENSP00000361025,658,680
ENSP00000348407,409,433
ENSP00000264360,908,1040
ENSP00000480469,1085,1143
ENSP00000394330,834,866
ENSP00000417271,253,334
ENSP00000422969,478,530
ENSP00000463376,54,77
ENSP00000362175,229,258
ENSP00000481949,491,510
ENSP00000452479,270,333
ENSP00000309823,614,680
ENSP00000421565,538,566
ENSP00000359567,365,446
ENSP00000368734,225,281
ENSP00000270233,581,628
ENSP00000483284,396,438
ENSP00000375919,573,718
ENSP00000360543,119,160
ENSP00000416398,289,311
ENSP00000373091,344,358
ENSP00000346845,788,898
ENSP00000404063,938,956
ENSP00000382014,677,740
ENSP00000394390,259,283
ENSP00000440077,591,612
ENSP00000481577,258,295
ENSP00000373794,563,597
ENSP00000261448,370,399
ENSP00000422896,409,439
ENSP00000417210,494,560
ENSP00000334958,1407,1435
ENSP00000332265,2322,2352
ENSP00000447990,341,365
ENSP00000344242,404,441
ENSP00000351605,658,706
ENSP00000362993,943,974
ENSP00000477743,392,427
ENSP00000480161,273,348
ENSP00000390938,1019,1041
ENSP00000370104,298,327
ENSP00000294339,283,331
ENSP00000340051,861,948
ENSP00000487310,782,851
ENSP00000363955,587,644
ENSP00000363826,629,694
ENSP00000440571,271,325
ENSP00000441531,808,851
ENSP00000476320,111,153
ENSP00000437814,179,204
ENSP00000372819,338,372
ENSP00000471477,194,209
ENSP00000483601,113,142
ENSP00000375801,85,108
ENSP00000446793,797,835
ENSP00000304956,1247,1320
ENSP00000230340,413,437
ENSP00000306918,908,938
ENSP00000473238,469,551
ENSP00000494415,306,338
ENSP00000415200,469,551
ENSP00000431083,901,931
ENSP00000416858,57,79
ENSP00000394472,653,712
ENSP00000380683,322,347
ENSP00000406478,563,591
ENSP00000374357,511,625
ENSP00000164024,3256,3312
ENSP00000388608,677,735
ENSP00000377059,184,270
ENSP00000386784,266,286
ENSP00000334798,398,468
ENSP00000259818,431,445
ENSP00000408288,197,279
ENSP00000434043,322,348
ENSP00000308369,877,911
ENSP00000400252,582,605
ENSP00000488651,598,618
ENSP00000484987,421,472
ENSP00000359660,104,147
ENSP00000354478,204,255
ENSP00000455681,349,432
ENSP00000439672,662,694
ENSP00000397924,288,313
ENSP00000433584,596,627
ENSP00000363071,426,470
ENSP00000234198,304,328
ENSP00000374566,948,998
ENSP00000487430,367,463
ENSP00000363057,857,880
ENSP00000359346,133,155
ENSP00000375237,107,128
ENSP00000386767,502,529
ENSP00000384874,431,479
ENSP00000344468,419,442
ENSP00000415851,407,468
ENSP00000388599,519,547
ENSP00000217182,444,463
ENSP00000365566,138,160
ENSP00000485276,807,871
ENSP00000249440,413,432
ENSP00000475344,343,380
ENSP00000344411,824,852
ENSP00000388912,657,687
ENSP00000463716,606,656
ENSP00000300571,350,403
ENSP00000360857,473,494
ENSP00000387257,539,588
ENSP00000484293,1479,1504
ENSP00000439470,432,481
ENSP00000264192,228,359
ENSP00000486737,78,128
ENSP00000478018,340,366
ENSP00000450332,120,148
ENSP00000385132,225,246
ENSP00000471795,284,315
ENSP00000478959,643,668
ENSP00000257359,859,889
ENSP00000480756,347,368
ENSP00000266025,301,351
ENSP00000299340,133,154
ENSP00000458144,130,247
ENSP00000482018,96,120
ENSP00000379405,421,459
ENSP00000337701,458,504
ENSP00000300952,423,468
ENSP00000345270,518,533
ENSP00000260818,2219,2243
ENSP00000407521,863,878
ENSP00000481164,371,444
ENSP00000408035,185,352
ENSP00000326244,378,468
ENSP00000393888,562,576
ENSP00000376453,365,392
ENSP00000459797,596,730
ENSP00000485750,518,543
ENSP00000354842,495,526
ENSP00000482410,547,568
ENSP00000492121,341,367
ENSP00000396749,843,878
ENSP00000257068,334,362
ENSP00000450257,120,148
ENSP00000264824,225,280
ENSP00000429706,357,380
ENSP00000439000,712,736
ENSP00000263545,326,389
ENSP00000367104,536,665
ENSP00000480050,486,582
ENSP00000464039,334,350
ENSP00000221980,882,924
ENSP00000481920,202,257
ENSP00000485739,226,306
ENSP00000477515,1252,1271
ENSP00000416149,617,659
ENSP00000480411,734,846
ENSP00000233025,148,169
ENSP00000300061,576,649
ENSP00000481242,140,182
ENSP00000380671,192,214
ENSP00000462998,95,116
ENSP00000419642,670,895
ENSP00000430713,323,357
ENSP00000307870,233,255
ENSP00000402856,867,903
ENSP00000436984,597,616
ENSP00000488705,519,575
ENSP00000436504,1030,1106
ENSP00000482650,1675,1700
ENSP00000484951,2328,2367
